system_id,utterance_id,wav_a_path,wav_b_path,human_speaker,human_accent,model_speaker,model_accent,human_accent_minus_speaker,model_accent_minus_speaker,absolute_gap_error
sys008,utt058,wav/vmc2026-track3-sys008-utt058.wav,wav/vmc2026-track3-sys019-utt057.wav,4.6,4.2,4.7800381100475855,4.739830519046252,-0.4,-0.040207591001,0.359792408999
sys008,utt054,wav/vmc2026-track3-sys008-utt054.wav,wav/vmc2026-track3-sys019-utt053.wav,4.6,4.4,4.5723047850451355,4.464551459491328,-0.2,-0.107753325554,0.09224667444600002
sys004,utt132,wav/vmc2026-track3-sys004-utt132.wav,wav/vmc2026-track3-sys019-utt131.wav,2.5,3.5,3.357313731154174,3.3119091328592916,1.0,-0.045404598295,1.045404598295
sys021,utt064,wav/vmc2026-track3-sys021-utt064.wav,wav/vmc2026-track3-sys019-utt063.wav,2.8,2.6,3.8482905409971147,3.619660746617421,-0.2,-0.22862979438,0.02862979437999999
sys004,utt008,wav/vmc2026-track3-sys004-utt008.wav,wav/vmc2026-track3-sys019-utt007.wav,3.6,3.4,3.6156246866939754,3.7798413191757616,-0.2,0.164216632482,0.364216632482
sys021,utt084,wav/vmc2026-track3-sys021-utt084.wav,wav/vmc2026-track3-sys019-utt083.wav,2.6,1.6,3.781815488151116,3.4508776691603478,-1.0,-0.330937818991,0.6690621810090001
sys004,utt068,wav/vmc2026-track3-sys004-utt068.wav,wav/vmc2026-track3-sys019-utt067.wav,3.2,2.8,3.4871678828032904,3.5376391313951627,-0.4,0.050471248592,0.45047124859200005
sys014,utt100,wav/vmc2026-track3-sys014-utt100.wav,wav/vmc2026-track3-sys019-utt099.wav,4.2,4.0,4.426236983942096,4.444218473058415,-0.2,0.017981489116,0.21798148911600002
sys025,utt056,wav/vmc2026-track3-sys025-utt056.wav,wav/vmc2026-track3-sys019-utt055.wav,4.2,3.6,3.7718651259724614,4.025986738695741,-0.6,0.254121612723,0.854121612723
sys017,utt096,wav/vmc2026-track3-sys017-utt096.wav,wav/vmc2026-track3-sys019-utt095.wav,4.4,2.8,4.127930261820053,4.168104516189851,-1.6,0.04017425437,1.6401742543700002
sys022,utt094,wav/vmc2026-track3-sys022-utt094.wav,wav/vmc2026-track3-sys019-utt093.wav,4.0,2.4,3.906276163481088,3.881942989447934,-1.6,-0.024333174033,1.5756668259670001
sys021,utt124,wav/vmc2026-track3-sys021-utt124.wav,wav/vmc2026-track3-sys019-utt123.wav,4.0,4.0,3.738762348760866,3.7506549409544054,0.0,0.011892592194,0.011892592194
sys004,utt164,wav/vmc2026-track3-sys004-utt164.wav,wav/vmc2026-track3-sys019-utt163.wav,3.2,3.6,3.5793256224457615,3.5282933474899503,0.4,-0.051032274956,0.451032274956
sys004,utt172,wav/vmc2026-track3-sys004-utt172.wav,wav/vmc2026-track3-sys019-utt171.wav,3.0,3.0,3.095484956996258,3.113735592487644,0.0,0.018250635491,0.018250635491
sys001,utt056,wav/vmc2026-track3-sys001-utt056.wav,wav/vmc2026-track3-sys019-utt055.wav,4.6,4.2,4.114759843723018,4.200141973581486,-0.4,0.085382129858,0.485382129858
sys012,utt098,wav/vmc2026-track3-sys012-utt098.wav,wav/vmc2026-track3-sys019-utt097.wav,4.8,4.4,3.9856757900138735,4.0479877445884735,-0.4,0.062311954575,0.462311954575
sys001,utt096,wav/vmc2026-track3-sys001-utt096.wav,wav/vmc2026-track3-sys019-utt095.wav,3.6,3.2,3.9987342735469684,4.055854986289266,-0.4,0.057120712742,0.457120712742
sys025,utt052,wav/vmc2026-track3-sys025-utt052.wav,wav/vmc2026-track3-sys019-utt051.wav,3.2,3.2,3.6210258654049374,3.8773807142199566,0.0,0.256354848815,0.256354848815
sys004,utt110,wav/vmc2026-track3-sys004-utt110.wav,wav/vmc2026-track3-sys019-utt109.wav,3.8,4.2,3.4108614931657963,3.602960616552556,0.4,0.192099123387,0.20790087661300002
sys015,utt240,wav/vmc2026-track3-sys015-utt240.wav,wav/vmc2026-track3-sys019-utt239.wav,3.8,4.2,4.0505392019351145,3.990574347768117,0.4,-0.059964854167,0.459964854167
sys004,utt032,wav/vmc2026-track3-sys004-utt032.wav,wav/vmc2026-track3-sys019-utt031.wav,3.4,3.2,3.072947329977956,3.0374203060107625,-0.2,-0.035527023967,0.164472976033
sys004,utt140,wav/vmc2026-track3-sys004-utt140.wav,wav/vmc2026-track3-sys019-utt139.wav,2.6,2.0,3.073129752012293,2.9411383961331805,-0.6,-0.131991355879,0.46800864412099996
sys004,utt216,wav/vmc2026-track3-sys004-utt216.wav,wav/vmc2026-track3-sys019-utt215.wav,3.2,3.0,3.4006698356724154,3.5867131156986645,-0.2,0.186043280026,0.386043280026
sys004,utt170,wav/vmc2026-track3-sys004-utt170.wav,wav/vmc2026-track3-sys019-utt169.wav,4.0,4.0,3.7225610172974397,3.668096709196012,0.0,-0.054464308101,0.054464308101
sys011,utt100,wav/vmc2026-track3-sys011-utt100.wav,wav/vmc2026-track3-sys019-utt099.wav,5.0,4.8,4.589611468273447,4.5775097085044125,-0.2,-0.012101759769,0.18789824023100002
sys021,utt152,wav/vmc2026-track3-sys021-utt152.wav,wav/vmc2026-track3-sys019-utt151.wav,3.4,4.0,4.147537317129696,4.002962120266589,0.6,-0.144575196863,0.744575196863
sys004,utt238,wav/vmc2026-track3-sys004-utt238.wav,wav/vmc2026-track3-sys019-utt237.wav,3.4,3.6,3.5951883250450565,3.6571390122823995,0.2,0.061950687237,0.138049312763
sys011,utt240,wav/vmc2026-track3-sys011-utt240.wav,wav/vmc2026-track3-sys019-utt239.wav,4.8,4.8,4.08676031153449,4.065740338928374,0.0,-0.021019972606,0.021019972606
sys003,utt094,wav/vmc2026-track3-sys003-utt094.wav,wav/vmc2026-track3-sys019-utt093.wav,4.8,4.6,4.256124331920517,4.212436310630416,-0.2,-0.04368802129,0.15631197871000002
sys021,utt090,wav/vmc2026-track3-sys021-utt090.wav,wav/vmc2026-track3-sys019-utt089.wav,4.6,4.4,3.6999185165474673,3.27013995706059,-0.2,-0.429778559487,0.229778559487
sys008,utt096,wav/vmc2026-track3-sys008-utt096.wav,wav/vmc2026-track3-sys019-utt095.wav,5.0,4.8,4.539859276636191,4.44593040716598,-0.2,-0.09392886947,0.10607113053000002
sys023,utt058,wav/vmc2026-track3-sys023-utt058.wav,wav/vmc2026-track3-sys019-utt057.wav,4.2,5.0,4.460452320208707,4.4815968489335765,0.8,0.021144528725,0.778855471275
sys005,utt058,wav/vmc2026-track3-sys005-utt058.wav,wav/vmc2026-track3-sys019-utt057.wav,3.8,4.0,3.704578823196866,3.9664866459857797,0.2,0.261907822789,0.06190782278899998
sys021,utt010,wav/vmc2026-track3-sys021-utt010.wav,wav/vmc2026-track3-sys019-utt009.wav,4.4,4.4,4.0271173147736565,3.9275037667094788,0.0,-0.099613548064,0.099613548064
sys005,utt056,wav/vmc2026-track3-sys005-utt056.wav,wav/vmc2026-track3-sys019-utt055.wav,4.2,4.6,3.5287837245621367,3.7217865926400804,0.4,0.193002868078,0.20699713192200003
sys004,utt020,wav/vmc2026-track3-sys004-utt020.wav,wav/vmc2026-track3-sys019-utt019.wav,4.0,4.0,3.49231669034463,3.6479164884691038,0.0,0.155599798124,0.155599798124
sys014,utt094,wav/vmc2026-track3-sys014-utt094.wav,wav/vmc2026-track3-sys019-utt093.wav,4.6,4.4,4.442392594438641,4.338481500199685,-0.2,-0.103911094239,0.09608890576100002
sys010,utt098,wav/vmc2026-track3-sys010-utt098.wav,wav/vmc2026-track3-sys019-utt097.wav,4.6,3.2,3.8141840764515504,3.624651070607553,-1.4,-0.189533005844,1.210466994156
sys004,utt214,wav/vmc2026-track3-sys004-utt214.wav,wav/vmc2026-track3-sys019-utt213.wav,3.2,3.6,3.392874337969934,3.591819106859624,0.4,0.19894476889,0.20105523111
sys021,utt112,wav/vmc2026-track3-sys021-utt112.wav,wav/vmc2026-track3-sys019-utt111.wav,4.0,2.4,3.5569747506380414,3.2753148395042864,-1.6,-0.281659911134,1.318340088866
sys004,utt274,wav/vmc2026-track3-sys004-utt274.wav,wav/vmc2026-track3-sys019-utt273.wav,3.0,3.6,3.6477231793430174,3.7061144316979386,0.6,0.058391252355,0.541608747645
sys002,utt098,wav/vmc2026-track3-sys002-utt098.wav,wav/vmc2026-track3-sys019-utt097.wav,5.0,4.6,4.113639761550902,4.000545347684193,-0.4,-0.113094413867,0.286905586133
sys026,utt240,wav/vmc2026-track3-sys026-utt240.wav,wav/vmc2026-track3-sys019-utt239.wav,3.8,4.4,3.709677438135352,3.6049917670761022,0.6,-0.104685671059,0.7046856710589999
sys004,utt296,wav/vmc2026-track3-sys004-utt296.wav,wav/vmc2026-track3-sys019-utt295.wav,3.2,3.8,3.54337479057991,3.777722343963645,0.6,0.234347553384,0.36565244661599994
sys005,utt052,wav/vmc2026-track3-sys005-utt052.wav,wav/vmc2026-track3-sys019-utt051.wav,4.0,4.0,3.512084451725396,3.8298913478345056,0.0,0.317806896109,0.317806896109
sys007,utt100,wav/vmc2026-track3-sys007-utt100.wav,wav/vmc2026-track3-sys019-utt099.wav,1.8,2.2,3.700842433879235,3.6864458545224412,0.4,-0.014396579357,0.41439657935700003
sys004,utt084,wav/vmc2026-track3-sys004-utt084.wav,wav/vmc2026-track3-sys019-utt083.wav,4.2,4.4,3.60148379477702,3.6099702885476987,0.2,0.008486493771,0.191513506229
